,,,,,,,,,,,
Quality Score,Url To Content Or Screenshot,Creator,Team,Content Source Of Contact,Owner,Platform,Placement Type,Primary Communication,Publish Date,Product,Content Id
,https://www.elle.de/beauty/trends/beste-led-masken-lichtterapie-video,ELLE.de,PR Germany team,PR Agency,Anna-Maria Kroplin,Online Publisher,PR: product placement,Education - Product features,1/15/2025,FAQ 201,256190
,https://www.cosmopolitan.com/it/bellezza/g63533520/piastre-maschere-beauty-tool-tecnologici/,cosmopolitan.com/it,PR Italy team,PR Agency,Julija Julka Varga,Online Publisher,PR: story,Smart technologies for visible results,1/28/2025,IRIS,256703
,,,,,,,,,,KIWI derma,256703
,,,,,,,,,,UFO 3 LED,256703
,https://elle.hr/articles/novi-beauty-gadget-led-terapija/,Elle.hr,PR Croatia team,Direct/Internal,Stella Crnobrnja,Online Publisher,PR: story,Education - Comprehensive,9/9/2025,FAQ Brand Image,270098
,,,,,,,,,,,
3 - average,https://drive.google.com/file/d/12QXzJNs0xRacOSjzlO9lwrDa3yxCeTVD/view?usp=drive_link,people.com,PR US team,Cate Charney,Vanja Gudelj,Print,PR: story,Celebrity seal of approval,4/4/2025,LUNA 4,261618
,https://drive.google.com/file/d/1khg-E_-9fqwk79L9V4twveZyHDBh4-Fk/view?usp=sharing,out.com,PR US team,Cate Charney,Vanja Gudelj,Print,PR: product placement,Education - Benefits from using a product,1/24/2025,FAQ 202,256876
,https://drive.google.com/file/d/12M9EQi0IoLY-h39ZGph7nSYyfT2hfPHZ/view?usp=sharing,Club Milano,PR Italy team,PR Agency,Julija Julka Varga,Print,PR: story,Beauty-tech – the future of beauty,1/16/2025,FAQ 202,256288
,https://drive.google.com/file/d/1h8ZieGBas02XNjMqlcQ1qqGsetTTcN8N/view,The London Standard,PR UK team,Black&White,Global PR Team,Print,PR: product placement,Skincare ritual essential,8/22/2025,FAQ 202,270060
,https://drive.google.com/file/d/1dzK3X0KfqNurcqK2gh6H-iFIePpc0BG2/view?usp=drive_link,Bunte,PR Germany team,PR Agency,Anna-Maria Kroplin,Print,PR: product placement,Education - Benefits from using a product,4/10/2025,FAQ 301,262953
,https://drive.google.com/file/d/1gZ6PXfGDqx6tEKoCJVKiZ5E5ORoqrNOQ/view?usp=drive_link,Olivia magazine PL,PR Poland team,Direct/Internal,Sara El Nemr,Print,PR: story,Expert / KOL seal of approval,8/11/2025,FAQ 202,268674
,,,,,Sasha Lasiewicki,Print,PR: story,,8/20/2025,FAQ-202,269311
,https://www.intereconomia.com/programas/belleza-capital-belleza-y-oncologia-segundas-oportunidades-esteticas-novedades-de-foreo-y-lico-07-06-2025/,BELLEZA CAPITAL,PR Spain team,Direct/Internal,Sara Riballo,Radio,Podcast,B2B: Industry opinion leaders,6/7/2025,FAQ Brand Image,266043
,,Intereconomía,PR Spain team,Direct/Internal,Sara Riballo,Radio,Talk show,Innovation powerhouse,5/31/2025,FAQ 202,265358
,https://drive.google.com/file/d/1IAWPdrPK8_5QkkeBc4N9sVEGF3kJx9cX/view?usp=drive_link,Power FM,PR Turkey team,Direct/Internal,Ceren Altan,Radio,Special project,Awareness general messages,3/5/2025,UFO,260659
,https://drive.google.com/file/d/1wT5EIJFpb9c-e037Y0ZI1ARQ5h0TTn7C/view?usp=drive_link,Power FM,PR Turkey team,Direct/Internal,Ceren Altan,Radio,Special project,Awareness general messages,3/12/2025,UFO,260658
,https://kosmetista.ru/blog/155626-britanskij-soyuznik-v-borbe-s-lishnej-rastitelnost.html,kosmetista.ru,PR Russia team,Organic,Anna Yakovleva,Blog,Post,Skincare ritual essential,1/13/2025,PEACH,256683
,https://kosmetista.ru/blog/155727-moi-klassnye-gadzhety-dlya-lica-i-volos.html,kosmetista.ru,PR Russia team,Organic,Anna Yakovleva,Blog,Post,Skincare ritual essential,1/15/2025,LUNA play,256679
,https://www.oprahdaily.com/beauty/skin-makeup/g44891789/best-led-face-masks/,oprahdaily.com,PR US team,Cate Charney,Vanja Gudelj,Blog,Post,Education - Product features,4/10/2025,FAQ 202,261989
,https://www.independent.co.uk/extras/indybest/gadgets-tech/best-electric-toothbrushes-b2353085.html,Independent.co.uk,PR UK team,Black&White,Ana Vukelic,Online Publisher,PR: product placement,Education - Product features,1/31/2025,ISSA 3,257416
,,,,,Vanja Gudelj,Online Publisher,PR: product placement,Education - Product features,2/13/2025,ISSA 3,258265
,,,,,,,,,3/31/2025,ISSA 3,261558
,,,,,,,,,5/25/2025,ISSA 3,265413
,,,,,,,,,7/7/2025,ISSA 3,267578
,https://www.thetimes.com/life-style/luxury/article/best-led-face-masks-times-luxury-m5p7lfmln,The Times UK,PR UK team,Black&White,Global PR Team,Online Publisher,PR: product placement,Investment skincare,8/21/2025,FAQ 201,270054
,,,,,Vanja Gudelj,Online Publisher,PR: product placement,Investment skincare,4/8/2025,FAQ 201,263662
,https://www.elle.com/es/belleza/cara-cuerpo/a65535289/errores-al-lavar-la-cara/,ELLE España,PR Spain team,PR Agency,Sara Riballo,Online Publisher,PR: product placement,Self-care,8/4/2025,LUNA 4,269200
,https://www.vanityfair.it/article/luce-led-acne-brufoli-benefici-migliori-device,vanityfair.it,PR Italy team,PR Agency,Julija Julka Varga,Online Publisher,PR: product placement,"Help in acne treatment, Maskne",4/14/2025,ESPADA,262455
,https://www.vogue.com/article/ulike-ipl-hair-removal-device-review,VOGUE,PR US team,Cate Charney,Vanja Gudelj,Online Publisher,PR: product placement,Sales support: Retailer,7/7/2025,PEACH 2,267642
,https://www.themirror.com/lifestyle/shopping/foreo-facial-cleanser-cleans-perfectly-1253145,The Mirror US,PR US team,PR Agency,Vanja Gudelj,Online Publisher,PR: story,Sales support: OUR.com,7/10/2025,LUNA mini 3,267681
,https://www.vogue.co.uk/beauty/gallery/best-facial-steamers,Vogue.co.uk,PR UK team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,Education - Benefits from using a product,2/25/2025,UFO 2,259287
,https://elpais.com/escaparate/comparativas/2023-10-12/mejores-tonificadores-faciales-electricos.html,EL PAÍS,PR Spain team,PR Agency,Sara Riballo,Online Publisher,PR: product placement,Self-care,7/3/2025,BEAR,267496
,,,,,,,,,,UFO 3,267496
,https://elle.hr/articles/otkrili-smo-tajnu-blistave-koze-chrissy-teigen/,Elle.hr,PR Croatia team,Direct/Internal,Stella Crnobrnja,Online Publisher,PR: story,Celebrity seal of approval,1/24/2025,FAQ 202,257121
,https://www.mirror.co.uk/money/shopping-deals/silkn-7-ipl-rotatable-head-34736807,mirror.co.uk,PR UK team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,Sales support: Retailer,3/2/2025,PEACH 2,259301
,,,,,,,,,,,
2,https://drive.google.com/file/d/17rSivVCk61HPh6XStpbB6K51uOI5HLeY/view,Blikk Nok Magazine,PR Hungary team,PR Agency,Sasha Lasiewicki,Print,PR: story,Skincare ritual essential,8/19/2025,BEAR 2 body,269526
,https://kosmetista.ru/blog/160558-uhod-ot-premialnogo-rossijskogo-brenda-kosmetiki-b.html,kosmetista.ru,PR Russia team,Organic,Anna Yakovleva,Blog,Post,Skincare ritual essential,7/24/2025,BEAR,268374
,https://beautygeekuk.com/2025/04/foreo-faq-401-faq-402-and-faq-411.html,Beauty Geek,PR UK team,Direct/Internal,Vanja Gudelj,Blog,Post,New product on the market,4/18/2025,FAQ 401,265481
,,,,,,,,,,FAQ 402,265481
,,,,,,,,,,FAQ 411,265481
,https://www.thesun.co.uk/shopping/33768950/foreo-luna-4-hair-review/,The Sun (United Kingdom),PR UK team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,Education - Benefits from using a product,3/13/2025,LUNA 4 hair,259801
,https://www.msn.com/en-gb/health/familyhealth/this-465-led-mask-is-considered-the-gold-standard-after-trying-it-for-a-month-i-have-thoughts/ar-AA1G8oFC,Who What Wear,PR Spain team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,Investment skincare,6/5/2025,FAQ 201,265981
,https://www.msn.com/en-gb/health/other/18-best-under-eye-patches-tested-for-dark-circles-bags-and-wrinkles/ar-AA1tWUGr,msn.com UK,PR UK team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,Education - Product features,5/28/2025,FAQ Microneedling Patches for Under Eyes,265421
,https://www.msn.com/en-us/lifestyle/shopping/battle-of-the-summer-beauty-sales-10-hollywood-coveted-products-to-buy-at-walmart-over-amazon/ar-AA1E4YKB?ocid=BingNewsBrowse,msn Lifestyle,PR US team,Cate Charney,Vanja Gudelj,Online Publisher,PR: product placement,Sales support: Retailer,5/5/2025,BEAR 2,263772
,https://elpais.com/smoda/belleza/2025-07-11/el-fenomeno-imparable-de-los-parches-de-ojos-de-su-viralidad-en-redes-a-ser-el-nuevo-objeto-de-deseo.html,EL PAÍS,PR Spain team,PR Agency,Sara Riballo,Online Publisher,PR: product placement,Self-care,7/11/2025,FOREO Brand Image,267498
,https://www.forbes.com/sites/forbes-personal-shopper/2025/06/19/4th-of-july-sales/,Forbes.com,PR US team,Cate Charney,Vanja Gudelj,Online Publisher,PR: product placement,Sales support: Retailer,6/19/2025,FOREO Brand Image,266373
,https://www.cosmopolitan.com/es/belleza/maquillaje/a63851390/truco-profesional-ojos-mas-grandes-instante/,COSMOPOLITAN España,PR Spain team,PR Agency,Sara Riballo,Online Publisher,Article,Investment skincare,2/22/2025,LUNA 4 mini,258458
,https://www.thesun.co.uk/shopping/35875826/keskine-ipl-hair-removal-handset-review/,The Sun (United Kingdom),PR UK team,Black&White,Global PR Team,Online Publisher,PR: story,"Media, Awards seal of approval",9/2/2025,PEACH 2,270027
,,,,,Vanja Gudelj,Online Publisher,PR: story,"Media, Awards seal of approval",7/17/2025,PEACH 2,267615
,https://www.cosmopolitan.com/style-beauty/beauty/a65531645/types-of-facials/,Cosmopolitan.com,PR US team,Cate Charney,Ana Vukelic,Online Publisher,PR: product placement,Investment skincare,7/29/2025,FOREO Brand Image,268388
,https://www.edinburghlive.co.uk/best-in-edinburgh/shopping/save-100-on-hair-removal-31595483,edinburghlive.co.uk,PR UK team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,Sales support: OUR.com,5/8/2025,PEACH 2,265372
,https://www.newbeauty.com/ulta-21-days-of-beauty-sale-fall-2025/,newbeauty.com,PR US team,Cate Charney,Global PR Team,Online Publisher,PR: product placement,Sales support: Retailer,8/27/2025,BEAR 2,269971
,https://www.msn.com/fr-be/lifestyle/shopping/49-id%C3%A9es-de-cadeaux-pour-les-mamans-%C3%A0-lui-offrir-en-2025/ar-AA1jYP0i,msn.com FR,PR France team,PR Agency,Agathe Donat,Online Publisher,PR: product placement,Skincare ritual essential,4/10/2025,UFO 3 LED,261873
,,https://www.msn.com/en-gb/health/other/red-light-therapy-can-completely-transform-your-skin-here-s-how-to-use-it-at-home/ss-AA1zvNZb,msn.com UK,PR UK team,Black&White,Vanja Gudelj,Online Publisher,PR: product placement,Hair Care Routine,2/21/2025,LUNA 4 hair
,,,,,,,,,,2/28/2025,LUNA 4 hair
