date,source,medium,new_users,sessions,engaged_sessions,engagement_rate,transactions,total_revenue
2025-01-18,email,newsletter,75,104,73,0.7,6,988.08
2025-01-18,google,cpc,310,425,266,0.63,29,5106.83
2025-01-18,tiktok,social,278,338,248,0.73,24,4754.2
2025-01-18,instagram,social,340,478,304,0.64,35,6933.98
2025-01-18,google,cpc,182,256,155,0.61,17,2756.04
2025-01-18,direct,(none),104,130,85,0.66,7,1185.12
2025-01-18,google,cpc,233,315,213,0.68,20,3427.48
2025-01-19,tiktok,social,235,315,196,0.62,19,3622.31
2025-01-19,instagram,social,137,204,103,0.51,10,2574.79
2025-01-19,tiktok,social,83,117,74,0.64,6,1422.49
2025-01-19,instagram,social,164,215,115,0.54,11,2590.68
2025-01-19,instagram,social,228,335,217,0.65,17,3914.45
2025-01-19,tiktok,social,143,192,100,0.52,11,2739.14
2025-01-20,instagram,social,197,258,161,0.63,10,2405.89
2025-01-20,email,newsletter,69,86,53,0.62,4,877.09
2025-01-20,google,organic,38,49,27,0.55,1,206.1
2025-01-20,email,newsletter,78,115,69,0.61,5,1283.38
2025-01-20,email,newsletter,147,201,120,0.6,7,2010.29
2025-01-20,tiktok,social,131,159,81,0.51,5,1315.92
2025-01-20,google,organic,220,326,199,0.61,12,3038.28
2025-01-20,instagram,social,210,269,166,0.62,12,2550.51
2025-01-20,google,organic,131,175,91,0.52,7,1920.72
2025-01-20,tiktok,social,234,287,198,0.69,11,2884.67
2025-01-21,direct,(none),261,333,215,0.65,16,4160.17
2025-01-21,tiktok,social,234,328,168,0.52,16,3689.46
2025-01-21,tiktok,social,215,308,181,0.59,15,3432.67
2025-01-21,tiktok,social,234,325,166,0.51,16,4210.72
2025-01-21,email,newsletter,81,102,66,0.65,4,906.05
2025-01-21,tiktok,social,62,80,53,0.66,4,832.96
2025-01-22,email,newsletter,201,293,178,0.61,17,4042.94
2025-01-22,tiktok,social,171,221,136,0.62,13,3251.88
2025-01-22,direct,(none),149,221,123,0.56,11,2860.84
2025-01-22,tiktok,social,115,158,110,0.7,9,2149.81
2025-01-22,google,cpc,286,420,215,0.51,25,5633.39
2025-01-22,google,organic,246,350,237,0.68,18,4639.59
2025-01-22,instagram,social,184,237,144,0.61,11,2590.48
2025-01-22,instagram,social,188,270,186,0.69,12,2585.63
2025-01-23,direct,(none),100,122,67,0.55,2,612.91
2025-01-23,direct,(none),45,55,27,0.5,1,243.22
2025-01-23,tiktok,social,25,37,24,0.66,1,249.58
2025-01-23,google,organic,55,80,40,0.5,1,228.11
2025-01-23,google,organic,114,155,81,0.53,4,940.5
2025-01-23,instagram,social,89,106,58,0.55,1,276.21
2025-01-23,google,cpc,108,154,91,0.6,3,864.22
2025-01-23,google,organic,65,95,58,0.62,1,234.26
2025-01-23,direct,(none),22,27,18,0.67,0,0.0
2025-01-23,email,newsletter,108,146,79,0.54,4,1222.65
2025-01-24,direct,(none),105,148,89,0.61,4,1047.76
2025-01-24,email,newsletter,46,58,32,0.56,1,232.39
2025-01-24,tiktok,social,68,96,61,0.64,2,566.95
2025-01-24,instagram,social,39,53,28,0.53,1,227.76
2025-01-25,google,cpc,149,212,131,0.62,12,3119.11
2025-01-25,google,cpc,180,250,141,0.57,14,3197.17
2025-01-25,email,newsletter,54,76,45,0.6,4,868.83
2025-01-25,google,organic,76,103,62,0.6,4,739.25
2025-01-25,direct,(none),118,149,74,0.5,9,2389.65
2025-01-25,direct,(none),289,422,242,0.57,23,5244.1
2025-01-25,google,cpc,68,99,54,0.55,6,1564.28
2025-01-25,google,organic,139,184,96,0.52,7,1836.81
2025-01-25,google,cpc,199,250,125,0.5,14,2623.2
2025-01-25,google,cpc,168,248,141,0.57,10,1989.54
2025-01-26,direct,(none),182,255,167,0.66,11,2445.22
2025-01-26,tiktok,social,134,181,102,0.57,6,1711.16
2025-01-26,instagram,social,179,231,145,0.63,10,2527.95
2025-01-26,instagram,social,232,317,178,0.56,13,3235.53
2025-01-26,instagram,social,123,181,115,0.64,6,1534.99
2025-01-26,direct,(none),84,107,69,0.65,4,1018.1
2025-01-26,tiktok,social,104,140,72,0.52,5,1090.11
2025-01-26,direct,(none),238,331,211,0.64,16,3897.83
2025-01-26,email,newsletter,238,302,202,0.67,11,2472.03
2025-01-26,instagram,social,65,91,47,0.52,4,851.08
2025-01-27,instagram,social,258,356,232,0.65,19,4268.9
2025-01-27,direct,(none),281,383,236,0.62,18,3499.64
2025-01-27,direct,(none),174,218,131,0.6,10,2661.51
2025-01-28,google,organic,134,168,86,0.51,8,1778.07
2025-01-28,google,cpc,152,212,107,0.51,7,1758.43
2025-01-28,google,organic,104,141,87,0.62,7,1744.38
2025-01-28,google,cpc,129,175,102,0.59,8,2092.68
2025-01-28,tiktok,social,245,351,194,0.55,16,3620.87
2025-01-28,tiktok,social,169,218,124,0.57,9,2188.59
2025-01-28,tiktok,social,266,325,208,0.64,17,4672.23
2025-01-28,google,cpc,195,266,161,0.61,11,2413.06
2025-01-28,google,organic,260,363,220,0.61,16,3079.5
2025-01-29,google,cpc,120,164,85,0.52,3,937.26
2025-01-29,tiktok,social,40,54,31,0.58,0,0.0
2025-01-29,google,cpc,82,120,72,0.6,3,833.87
2025-01-30,google,cpc,104,126,69,0.55,3,963.81
2025-01-30,google,organic,75,93,50,0.54,2,577.06
2025-01-30,instagram,social,56,72,40,0.56,1,258.33
2025-01-30,direct,(none),87,123,67,0.55,2,638.69
2025-01-30,direct,(none),134,179,102,0.57,5,1187.77
2025-01-30,direct,(none),72,105,59,0.56,2,553.52
2025-01-30,email,newsletter,65,87,56,0.65,2,611.75
2025-01-30,google,cpc,120,168,113,0.67,5,1308.72
2025-01-30,instagram,social,133,161,105,0.65,2,612.76
2025-01-30,email,newsletter,121,162,103,0.64,5,1600.55
2025-01-30,tiktok,social,127,181,94,0.52,4,1138.44
2025-01-30,google,cpc,57,82,46,0.56,1,289.67
2025-01-30,direct,(none),150,217,149,0.69,5,1270.0
2025-01-30,tiktok,social,112,151,97,0.65,4,1209.21
2025-01-30,tiktok,social,40,57,36,0.64,0,0.0
2025-01-31,instagram,social,138,199,124,0.63,5,1138.22
2025-01-31,tiktok,social,70,99,67,0.68,3,924.0
2025-01-31,direct,(none),65,83,51,0.62,2,497.2
2025-01-31,direct,(none),46,60,31,0.52,1,267.96
2025-01-31,tiktok,social,140,203,132,0.65,3,908.62
2025-01-31,tiktok,social,52,70,39,0.57,2,482.02
2025-01-31,google,organic,20,28,19,0.7,0,0.0
2025-01-31,tiktok,social,46,63,36,0.58,1,324.65
2025-01-31,direct,(none),21,29,19,0.67,0,0.0
2025-01-31,direct,(none),42,56,35,0.64,1,264.12
2025-02-01,instagram,social,135,164,88,0.54,7,1908.21
2025-02-01,email,newsletter,110,155,107,0.69,8,2258.26
2025-02-01,google,cpc,115,141,85,0.6,7,1937.68
2025-02-02,google,cpc,95,133,83,0.63,8,1838.6
2025-02-02,google,organic,149,220,131,0.6,13,2615.02
2025-02-02,google,organic,122,164,87,0.54,7,1585.55
2025-02-02,direct,(none),114,154,91,0.59,6,1163.81
2025-02-02,instagram,social,45,59,37,0.64,2,478.37
2025-02-02,tiktok,social,112,165,103,0.63,7,1530.82
2025-02-02,direct,(none),81,112,57,0.51,6,1221.35
2025-02-02,direct,(none),66,87,55,0.63,4,896.06
2025-02-02,email,newsletter,56,77,49,0.64,3,662.24
2025-02-02,tiktok,social,257,314,171,0.55,17,3434.72
2025-02-02,google,cpc,251,367,233,0.64,20,4839.74
2025-02-03,instagram,social,65,94,61,0.65,1,225.78
2025-02-03,google,organic,69,83,42,0.52,1,230.73
2025-02-03,google,organic,137,164,103,0.63,2,620.44
2025-02-03,email,newsletter,71,99,62,0.63,3,759.72
2025-02-03,direct,(none),98,140,90,0.65,2,499.29
2025-02-03,instagram,social,91,125,66,0.54,3,695.41
2025-02-04,google,cpc,98,130,67,0.52,3,866.01
2025-02-04,email,newsletter,49,71,37,0.53,2,474.8
2025-02-04,direct,(none),110,144,91,0.64,4,917.79
2025-02-04,instagram,social,133,181,94,0.52,3,910.39
2025-02-04,email,newsletter,146,175,105,0.6,4,1138.86
2025-02-05,tiktok,social,119,153,95,0.62,8,1541.34
2025-02-05,email,newsletter,338,483,274,0.57,29,5316.53
2025-02-05,email,newsletter,119,155,89,0.58,7,1302.96
2025-02-05,direct,(none),176,226,150,0.66,11,2389.04
2025-02-05,tiktok,social,180,225,125,0.56,13,2605.17
2025-02-05,google,organic,332,433,253,0.59,23,5564.52
2025-02-05,email,newsletter,140,190,123,0.65,8,2044.0
2025-02-05,google,organic,194,240,157,0.66,15,2805.26
2025-02-05,google,organic,187,229,170,0.74,10,1969.51
2025-02-06,tiktok,social,126,152,95,0.63,7,1297.19
2025-02-06,direct,(none),273,405,250,0.62,23,5723.2
2025-02-06,tiktok,social,318,419,285,0.68,25,5284.98
2025-02-06,direct,(none),132,168,110,0.66,7,1318.01
2025-02-06,google,cpc,248,355,247,0.7,15,2843.0
2025-02-06,email,newsletter,188,270,144,0.53,15,3259.74
2025-02-07,instagram,social,96,143,74,0.52,6,1558.69
2025-02-07,email,newsletter,62,78,53,0.69,4,814.94
2025-02-07,google,cpc,207,287,186,0.65,17,3428.28
2025-02-07,email,newsletter,213,316,191,0.61,19,4618.99
2025-02-07,google,organic,207,267,142,0.53,12,2553.34
2025-02-07,google,cpc,306,373,207,0.56,20,4642.67
2025-02-08,email,newsletter,177,239,141,0.59,10,2415.65
2025-02-08,tiktok,social,229,342,221,0.65,12,2656.51
2025-02-08,direct,(none),78,102,60,0.6,3,608.31
2025-02-08,email,newsletter,182,237,120,0.51,10,2272.44
2025-02-08,tiktok,social,170,211,139,0.66,7,1869.71
2025-02-08,email,newsletter,180,244,160,0.66,9,2340.57
2025-02-08,direct,(none),220,297,207,0.7,11,2611.34
2025-02-08,direct,(none),49,66,45,0.69,2,569.25
2025-02-08,email,newsletter,199,292,190,0.65,13,3289.52
2025-02-08,instagram,social,220,316,182,0.58,9,2082.12
2025-02-09,tiktok,social,136,202,125,0.62,9,2242.21
2025-02-09,tiktok,social,285,397,213,0.54,20,4991.25
2025-02-09,tiktok,social,96,116,76,0.66,5,1126.14
2025-02-09,email,newsletter,231,290,174,0.6,13,2711.76
2025-02-09,tiktok,social,258,380,196,0.52,18,4418.16
2025-02-09,tiktok,social,252,337,171,0.51,17,4073.09
2025-02-09,google,organic,231,332,192,0.58,13,2582.39
2025-02-09,google,cpc,167,202,113,0.56,9,2019.41
2025-02-10,email,newsletter,224,304,180,0.59,9,1862.13
2025-02-10,google,cpc,44,54,32,0.6,2,533.92
2025-02-10,google,cpc,136,183,115,0.63,6,1230.73
2025-02-10,google,cpc,108,140,85,0.61,6,1689.49
2025-02-10,direct,(none),179,254,169,0.67,10,2498.61
2025-02-10,google,cpc,113,138,96,0.7,4,978.83
2025-02-10,instagram,social,48,64,39,0.61,2,513.34
2025-02-10,google,organic,204,256,157,0.61,9,1866.19
2025-02-10,tiktok,social,160,218,124,0.57,8,1975.19
2025-02-10,email,newsletter,174,239,160,0.67,8,2290.84
2025-02-11,instagram,social,157,233,147,0.63,7,1977.95
2025-02-11,tiktok,social,111,156,108,0.69,3,826.93
2025-02-11,instagram,social,80,109,62,0.57,3,801.93
2025-02-11,google,organic,126,185,125,0.68,5,1180.01
2025-02-11,direct,(none),117,141,79,0.56,4,868.55
2025-02-12,email,newsletter,109,153,105,0.69,8,1740.8
2025-02-12,direct,(none),235,293,183,0.63,15,3638.02
2025-02-12,direct,(none),58,75,49,0.65,2,526.6
2025-02-12,google,cpc,243,305,161,0.53,17,3221.55
2025-02-12,email,newsletter,123,148,84,0.57,7,1906.26
2025-02-12,instagram,social,278,356,198,0.56,18,3822.2
2025-02-12,google,organic,49,60,32,0.54,2,431.6
2025-02-12,email,newsletter,166,201,130,0.65,8,1824.15
2025-02-12,google,cpc,141,204,114,0.56,9,2092.45
2025-02-12,tiktok,social,78,99,67,0.69,4,830.48
2025-02-13,tiktok,social,140,204,137,0.67,9,1856.66
2025-02-13,instagram,social,63,76,45,0.6,4,746.57
2025-02-13,google,cpc,124,150,111,0.74,9,2194.09
2025-02-13,email,newsletter,205,255,140,0.55,12,2761.63
2025-02-13,email,newsletter,140,177,120,0.68,10,2002.15
2025-02-13,instagram,social,99,139,77,0.56,8,1952.0
2025-02-13,google,organic,187,242,164,0.68,13,2397.85
2025-02-13,tiktok,social,183,245,147,0.6,12,2464.13
2025-02-13,google,cpc,94,123,91,0.75,7,1616.27
2025-02-14,google,cpc,90,117,63,0.54,3,748.77
2025-02-14,google,organic,71,86,53,0.63,2,644.29
2025-02-14,google,cpc,85,108,71,0.67,2,521.13
2025-02-14,google,organic,21,26,16,0.62,0,0.0
2025-02-14,direct,(none),149,198,105,0.53,5,1218.73
2025-02-14,google,cpc,128,185,122,0.66,4,1154.75
2025-02-14,google,cpc,103,125,68,0.55,2,644.06
2025-02-14,instagram,social,58,84,44,0.53,1,302.34
2025-02-14,tiktok,social,46,57,34,0.61,1,320.13
2025-02-14,tiktok,social,146,177,94,0.54,6,1351.26
2025-02-15,google,cpc,67,94,48,0.52,4,957.12
2025-02-15,google,organic,240,337,197,0.59,11,2606.21
2025-02-15,direct,(none),86,126,74,0.59,4,885.53
2025-02-15,email,newsletter,61,74,50,0.69,3,715.71
2025-02-15,email,newsletter,144,187,108,0.58,7,1747.31
2025-02-15,google,organic,165,231,148,0.64,12,3277.32
2025-02-15,tiktok,social,242,301,204,0.68,11,2425.24
2025-02-15,instagram,social,72,102,54,0.53,4,996.82
2025-02-16,google,cpc,241,307,203,0.66,16,4158.44
2025-02-16,instagram,social,101,135,88,0.65,6,1133.72
2025-02-16,tiktok,social,156,223,117,0.53,10,2008.99
2025-02-16,direct,(none),68,82,49,0.6,3,670.74
2025-02-16,google,cpc,143,193,131,0.68,10,2531.71
2025-02-17,google,cpc,21,29,15,0.53,0,0.0
2025-02-17,tiktok,social,81,108,72,0.67,1,284.44
2025-02-17,email,newsletter,98,142,90,0.64,4,1037.23
2025-02-17,google,cpc,67,94,49,0.53,2,630.55
2025-02-17,google,organic,48,65,37,0.58,1,279.76
2025-02-17,tiktok,social,34,48,26,0.56,1,307.29
2025-02-17,direct,(none),150,181,98,0.54,4,961.73
2025-02-17,google,cpc,69,98,66,0.68,2,509.92
2025-02-17,tiktok,social,150,193,113,0.59,5,1416.81
2025-02-17,google,cpc,121,158,96,0.61,2,528.01
2025-02-17,instagram,social,64,77,53,0.69,1,244.08
2025-02-18,email,newsletter,51,75,43,0.58,2,567.2
2025-02-18,google,organic,37,49,26,0.55,1,266.37
2025-02-18,instagram,social,65,87,59,0.68,1,273.48
2025-02-19,email,newsletter,188,278,147,0.53,7,2122.12
2025-02-19,email,newsletter,183,272,189,0.7,6,1695.13
2025-02-19,direct,(none),49,59,39,0.67,1,266.81
2025-02-19,google,organic,131,165,101,0.62,6,1549.2
2025-02-19,tiktok,social,187,265,143,0.54,9,2262.46
2025-02-19,direct,(none),32,42,22,0.54,1,278.56
2025-02-19,instagram,social,143,182,119,0.66,7,1749.72
2025-02-19,instagram,social,29,42,22,0.54,1,294.95
2025-02-20,tiktok,social,83,112,83,0.75,6,1143.41
2025-02-20,google,organic,240,339,243,0.72,19,3619.89
2025-02-20,google,cpc,249,300,169,0.56,17,3020.52
2025-02-20,instagram,social,304,417,260,0.62,28,6987.28
2025-02-20,email,newsletter,342,496,280,0.56,32,6087.75
2025-02-20,google,cpc,104,143,80,0.56,8,1786.04
2025-02-21,email,newsletter,83,103,56,0.55,2,480.73
2025-02-21,google,cpc,30,38,24,0.65,0,0.0
2025-02-21,tiktok,social,44,55,38,0.69,1,230.14
2025-02-21,instagram,social,67,83,53,0.64,2,542.02
2025-02-21,email,newsletter,59,75,42,0.57,2,595.22
2025-02-21,google,cpc,24,32,20,0.65,0,0.0
2025-02-21,google,organic,42,51,30,0.6,1,285.11
2025-02-21,tiktok,social,71,87,43,0.5,1,234.64
2025-02-21,google,cpc,101,142,75,0.53,4,1144.61
2025-02-21,google,organic,128,165,86,0.52,2,477.66
2025-02-21,email,newsletter,65,95,59,0.63,1,270.09
2025-02-21,tiktok,social,88,117,73,0.63,3,931.61
2025-02-21,instagram,social,129,166,110,0.67,3,689.79
2025-02-22,instagram,social,276,394,238,0.61,20,4989.69
2025-02-22,tiktok,social,187,270,186,0.69,11,2435.68
2025-02-22,instagram,social,298,365,217,0.6,17,3525.61
2025-02-22,direct,(none),78,106,63,0.6,5,1041.23
2025-02-22,google,cpc,115,158,104,0.66,7,1817.38
2025-02-22,tiktok,social,121,176,99,0.57,9,2308.2
2025-02-22,email,newsletter,204,256,178,0.7,13,3271.45
2025-02-22,direct,(none),82,99,66,0.67,4,1006.38
2025-02-22,direct,(none),72,92,55,0.6,4,902.23
2025-02-23,instagram,social,90,120,74,0.62,5,1227.08
2025-02-23,google,organic,71,104,52,0.51,4,831.29
2025-02-23,google,organic,217,300,209,0.7,11,2488.9
2025-02-23,google,organic,49,61,39,0.64,2,440.54
2025-02-23,email,newsletter,40,54,31,0.59,2,404.93
2025-02-23,direct,(none),151,192,102,0.53,8,1713.93
2025-02-23,google,organic,112,147,96,0.66,7,1520.47
2025-02-24,google,organic,235,330,184,0.56,20,4345.33
2025-02-24,tiktok,social,286,420,306,0.73,27,5452.95
2025-02-24,instagram,social,388,505,286,0.57,34,6268.07
2025-02-24,google,cpc,200,294,177,0.6,21,4052.39
2025-02-24,instagram,social,351,506,353,0.7,38,7656.39
2025-02-24,direct,(none),377,495,345,0.7,30,6845.46
2025-02-24,google,cpc,268,348,215,0.62,26,6010.44
2025-02-24,tiktok,social,265,320,217,0.68,20,4280.3
2025-02-24,email,newsletter,184,248,156,0.63,17,3667.44
2025-02-25,google,cpc,228,338,196,0.58,20,4411.66
2025-02-25,direct,(none),271,401,299,0.75,24,4602.5
2025-02-25,email,newsletter,109,135,99,0.74,6,1346.76
2025-02-25,email,newsletter,90,133,75,0.57,8,1502.34
2025-02-25,instagram,social,111,154,102,0.67,8,1680.44
2025-02-25,google,cpc,245,362,261,0.72,18,3526.13
2025-02-25,tiktok,social,178,229,158,0.69,15,3331.36
2025-02-25,direct,(none),283,377,217,0.58,19,4028.98
2025-02-26,direct,(none),175,231,128,0.55,14,2676.41
2025-02-26,instagram,social,68,95,67,0.71,6,1289.45
2025-02-26,google,organic,154,212,148,0.7,14,2458.7
2025-02-26,tiktok,social,319,447,271,0.61,28,4737.09
2025-02-27,instagram,social,63,83,54,0.65,2,625.55
2025-02-27,google,cpc,82,108,61,0.57,3,752.33
2025-02-27,tiktok,social,82,106,67,0.64,2,491.03
2025-02-27,google,organic,85,115,72,0.63,1,244.18
2025-02-27,email,newsletter,89,132,66,0.51,3,922.31
2025-02-27,instagram,social,106,140,75,0.54,3,727.52
2025-02-27,tiktok,social,127,163,95,0.58,5,1164.28
2025-02-28,tiktok,social,32,39,25,0.66,1,260.18
2025-02-28,email,newsletter,122,163,82,0.5,4,1173.27
2025-02-28,direct,(none),54,67,44,0.67,1,225.62
2025-02-28,email,newsletter,78,94,47,0.5,3,696.57
2025-02-28,google,cpc,92,122,70,0.58,2,461.26
